passport_number,name,nationality,date_of_birth,issue_date,expiry_date,passport_type
Rjv560613,Kelly Stone,Swaziland,2001-10-22,2020-01-23,2027-07-07,Diplomatic
XXXXXXX,Sharon Morales,South Africa,1994-07-15,2021-01-23,2028-11-30,Regular
rkF768917,Juan Harrington,Papua New Guinea,1985-12-15,2022-09-03,2026-02-22,Official
vew333679,David Mason,Western Sahara,2001-06-06,2024-02-10,2028-12-25,Official
KoJ186331,1234,Czech Republic,1969-04-05,2020-01-26,2032-04-29,Official
gTc668131,Nancy Sweeney,Pakistan,1983-06-18,2021-03-20,2028-03-03,Diplomatic
xQT878933,Brian Mckenzie,Slovenia,1976-03-16,2024-03-02,2031-11-11,Official
LpD254248,Phillip Garcia,Montserrat,2001-01-11,2022-04-07,2032-10-24,Diplomatic
GOH836295,Hannah Lee,Madagascar,1988-08-27,2022-08-22,2034-09-07,Diplomatic
XXXXXXX,Brent Reynolds,Greenland,1978-11-24,2022-04-02,2029-04-28,Regular
vKE706717,Mary Curtis,Reunion,1962-10-15,2023-11-13,2028-06-01,Regular
TWH484884,Joseph Bell,Cape Verde,1947-05-18,2020-12-04,2027-05-28,Regular
Msi615594,Kevin Williams,Albania,1968-08-27,2020-09-05,2030-02-21,Official
sNk287081,Timothy Richards,Sierra Leone,1972-07-31,2023-07-23,2032-12-11,Diplomatic
NWU618269,Daniel Gordon,Myanmar,1951-05-24,2023-05-28,2030-01-20,Official
aqp357491,David Johnson,Mauritania,1973-10-14,2021-10-11,2033-07-25,Regular
ptI971379,Ashley Smith,Vanuatu,1971-09-12,2024-01-12,2028-07-20,Diplomatic
dla446995,Jason Miller,Cocos (Keeling) Islands,1949-06-19,2023-02-03,2034-05-21,Regular
bVv046974,Kristina Simpson,Saint Vincent and the Grenadines,1991-09-01,2020-07-17,2028-10-31,Diplomatic
XkX386535,Lisa Anderson,Fiji,1999-07-03,2021-07-30,2025-10-18,Official
mhd125647,Edward Vaughn,Gibraltar,1984-04-23,2020-08-05,2034-09-04,Official
gAQ990993,Mrs. Joan Noble DVM,Wallis and Futuna,1946-03-03,2022-12-31,2031-11-01,Official
yeP974710,1234,Congo,1963-01-13,2022-09-11,2034-08-26,Diplomatic
wtm889767,Brandi Ayers,Jamaica,1978-08-20,2021-03-19,2029-11-09,Diplomatic
bfa306762,Phillip Lutz,Ukraine,1958-04-20,2021-01-17,2025-12-07,Official
gDI750699,Jill Stevens,Bahrain,1971-05-11,2023-08-16,2027-08-16,Official
uTB967690,Veronica Howell,Saint Lucia,2003-05-17,2024-08-23,2034-03-10,Diplomatic
HQz850838,Brittany Thompson,Iceland,1966-09-22,2023-06-02,2027-08-02,Diplomatic
mQj656409,Phillip Maldonado,Equatorial Guinea,1979-11-09,2020-11-01,2025-12-08,Official
HnV747099,Benjamin Vazquez,China,1971-08-24,2020-03-02,2029-07-25,Diplomatic
bjz940879,1234,Tanzania,2005-03-11,2020-11-27,2033-03-03,Regular
uPE920891,Stephanie Wang,Gambia,2005-09-12,2022-03-25,2030-03-15,Diplomatic
xqa727866,Aaron Johnson,Nepal,1983-09-27,2024-05-19,2029-04-14,Official
rzY546808,Gina Thompson,Gambia,1944-02-07,2022-05-19,2027-08-23,Diplomatic
dit832767,Carol Robertson,Iceland,1996-08-07,2024-04-03,2027-06-10,Regular
AEd753016,Kimberly Bennett,Aruba,1972-12-01,2024-07-02,2034-05-08,Diplomatic
jbD175978,Wendy Esparza,Korea,1962-01-06,2021-06-12,2028-10-15,Regular
uQC969636,Michelle Garcia,Armenia,1973-12-09,2024-02-11,2030-02-20,Diplomatic
zKe794455,Chris Francis PhD,Jordan,1994-03-30,2022-10-29,2033-07-22,Official
Vdh993207,Michael Larson,Lithuania,1967-08-12,2024-06-26,2028-03-22,Regular
qBk588978,Christopher Rodriguez,Bulgaria,1994-06-03,2023-02-13,2033-03-14,Official
xno403070,Cheryl Brown,Djibouti,1975-01-02,2023-09-29,2031-02-28,Official
OLq647578,Sarah Vargas,Samoa,1965-01-22,2022-03-18,2032-03-16,Regular
zJg587890,Erin Russell,Namibia,1974-09-11,2020-05-09,2026-04-14,Regular
Evl605984,Lauren Beck,Vanuatu,1944-10-10,2022-02-15,2033-03-30,Regular
XAm550341,Mark Meadows,Burundi,2003-02-11,2023-08-28,2026-12-02,Official
Fjo384142,Alfred Moody,Kuwait,1993-10-15,2022-06-17,2024-11-26,Diplomatic
YPU541290,Angela Perry,Kenya,1990-05-24,2021-01-05,2030-07-13,Regular
Lkl633712,Heather Bowers,Myanmar,2002-07-27,2020-04-06,2031-04-27,Diplomatic
YQh881147,Christine Smith,Thailand,1997-02-01,2024-03-23,2025-10-24,Official
JNE984856,Raymond Carter,Micronesia,1968-11-06,2021-07-25,2029-07-05,Regular
cwi217280,Raymond Smith,Italy,1980-09-23,2021-05-29,2030-09-05,Regular
POH992359,Nathaniel Sellers,Burkina Faso,1992-06-26,2024-04-03,2030-11-20,Regular
pXg498637,Joseph Fowler,Holy See (Vatican City State),1949-06-03,2022-07-24,2023-02-30,Diplomatic
hhQ553169,Crystal Dixon,Martinique,1986-01-29,2024-06-20,2030-06-22,Diplomatic
gue198536,Jeff Phillips,United Arab Emirates,1965-03-21,2022-04-27,2026-04-28,Diplomatic
ljg539673,1234,Netherlands,1964-09-28,2021-02-15,2028-12-11,Regular
zZE805023,Alan Rowland,Norway,2001-12-21,2020-04-30,2031-02-10,Official
